student_id,name,email
B11902001,Student 001,student001@demo.example
B11902002,Student 002,student002@demo.example
B11902003,Student 003,student003@demo.example
B11902004,Student 004,student004@demo.example
B11902005,Student 005,student005@demo.example
B11902006,Student 006,student006@demo.example
B11902007,Student 007,student007@demo.example
B11902008,Student 008,student008@demo.example
B11902009,Student 009,student009@demo.example
B11902010,Student 010,student010@demo.example
DEMO0001,Student 011,student011@demo.example
DEMO0002,Student 012,student012@demo.example
DEMO0003,Student 013,student013@demo.example
DEMO0004,Student 014,student014@demo.example
DEMO0005,Student 015,student015@demo.example
